;Well;Fluor;Target;Content;Sample;Cq;SQ
;F04;SYBR;Vg;Unkn;;NaN;NaN
;F05;SYBR;A1;Unkn;;25,4034784122995;NaN
;F06;SYBR;A1;Unkn;;25,5900139893375;NaN
;F07;SYBR;;Unkn;;NaN;NaN
;F08;SYBR;;Unkn;;NaN;NaN
;F09;SYBR;;Unkn;;NaN;NaN
;F10;SYBR;;Unkn;;NaN;NaN
;F11;SYBR;;Unkn;;NaN;NaN
;F12;SYBR;;Unkn;;NaN;NaN
;F13;SYBR;;Unkn;;NaN;NaN
;F14;SYBR;;Unkn;;NaN;NaN
;F15;SYBR;;Unkn;;NaN;NaN
;F16;SYBR;;Unkn;;NaN;NaN
;F17;SYBR;;Unkn;;NaN;NaN
;F18;SYBR;;Unkn;;NaN;NaN
;F19;SYBR;;Unkn;;NaN;NaN
;F20;SYBR;;Unkn;;NaN;NaN
;F21;SYBR;;Unkn;;NaN;NaN
;F22;SYBR;;Unkn;;NaN;NaN
;F23;SYBR;;Unkn;;NaN;NaN
;F24;SYBR;;Unkn;;NaN;NaN
;G01;SYBR;RPS49;Unkn;;15,598026643759;NaN
;G02;SYBR;RPS49;Unkn;;16,0718711835347;NaN
;G03;SYBR;Vg;Unkn;;20,2171928998583;NaN
;G04;SYBR;Vg;Unkn;;19,4234942895042;NaN
;G05;SYBR;A1;Unkn;;NaN;NaN
;G06;SYBR;A1;Unkn;;NaN;NaN
;G07;SYBR;;Unkn;;NaN;NaN
;G08;SYBR;;Unkn;;NaN;NaN
;G09;SYBR;;Unkn;;NaN;NaN
;G10;SYBR;;Unkn;;NaN;NaN
;G11;SYBR;;Unkn;;NaN;NaN
;G12;SYBR;;Unkn;;NaN;NaN
;G13;SYBR;;Unkn;;NaN;NaN
;G14;SYBR;;Unkn;;NaN;NaN
;G15;SYBR;;Unkn;;NaN;NaN
;G16;SYBR;;Unkn;;NaN;NaN
;G17;SYBR;;Unkn;;NaN;NaN
;G18;SYBR;;Unkn;;NaN;NaN
;G19;SYBR;;Unkn;;NaN;NaN
;G20;SYBR;;Unkn;;NaN;NaN
;G21;SYBR;;Unkn;;NaN;NaN
;G22;SYBR;;Unkn;;NaN;NaN
;G23;SYBR;;Unkn;;NaN;NaN
;G24;SYBR;;Unkn;;NaN;NaN
;H01;SYBR;RPS49;Unkn;;14,6676248184926;NaN
;H02;SYBR;RPS49;Unkn;;15,5311760482818;NaN
;H03;SYBR;Vg;Unkn;;NaN;NaN
;H04;SYBR;Vg;Unkn;;NaN;NaN
;H05;SYBR;A1;Unkn;;31,0979796803205;NaN
;H06;SYBR;A1;Unkn;;31,5647177306375;NaN
;H07;SYBR;;Unkn;;NaN;NaN
;H08;SYBR;;Unkn;;NaN;NaN
;H09;SYBR;;Unkn;;NaN;NaN
;H10;SYBR;;Unkn;;NaN;NaN
;H11;SYBR;;Unkn;;NaN;NaN
;H12;SYBR;;Unkn;;NaN;NaN
;H13;SYBR;;Unkn;;NaN;NaN
;H14;SYBR;;Unkn;;NaN;NaN
;H15;SYBR;;Unkn;;NaN;NaN
;H16;SYBR;;Unkn;;NaN;NaN
;H17;SYBR;;Unkn;;NaN;NaN
;H18;SYBR;;Unkn;;NaN;NaN
;H19;SYBR;;Unkn;;NaN;NaN
;H20;SYBR;;Unkn;;NaN;NaN
;H21;SYBR;;Unkn;;NaN;NaN
;H22;SYBR;;Unkn;;NaN;NaN
